Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
"IES RESIDENTIAL, INC.","IES RESIDENTIAL, INC.",5433 WESTHEIMER RD STE 500,HOUSTON,TX,77056,238210,Electrical Contractors and Other Wiring Installation,Foreign Corporation (Out-of-State),2016-03-21T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"IES TX RE, LLC","IES TX RE, LLC",2925 BRIARPARK DR # 250,HOUSTON,TX,77042,238210,Electrical Contractors and Other Wiring Installation,Corporation / Corporate Entity,2025-12-04T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"IESMART SYSTEMS, L.L.C.","IESMART SYSTEMS, L.L.C.",15200 E HARDY RD,HOUSTON,TX,77032,238212,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2007-04-26T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IGNITE AIR SYSTEMS,IGNITE AIR SYSTEMS LLC,17000 EL CAMINO REAL STE 307F,HOUSTON,TX,77058,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited Liability Company (LLC),2022-06-11T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"IGRANITE, LLC","IGRANITE, LLC",1808 W SAM HOUSTON PKWY N,HOUSTON,TX,77043,238140,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2020-04-15T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
ILLUMASCAPE,"MERCY GRACE PARTNERS, LLC",10530 WINDFERN RD,HOUSTON,TX,77064,238990,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2022-09-17T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
ILLUMINATIONS LIGHTING DESIGN,"RULON ELECTRIC ILLUMINATIONS COMPANY, INC.",607 DURHAM DR,HOUSTON,TX,77007,238210,Electrical Contractors and Other Wiring Installation,Texas Corporation,1993-08-19T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"ILLUMITECH ELECTRIC, LLC","ILLUMITECH ELECTRIC, LLC",4218 RICHMOND AVE,HOUSTON,TX,77027,238210,Electrical Contractors and Other Wiring Installation,Limited Liability Company (LLC),2026-02-27T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
ILLUSION AV,ARMANDO E HERNANDEZ,7714 WINTER GLEN LN,HOUSTON,TX,77072,238210,Electrical Contractors and Other Wiring Installation,Type IS,2026-08-31T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IMAGE PAINTING LLC,IMAGE PAINTING LLC,9126 ROCKCLIFF DR,HOUSTON,TX,77037,238320,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2023-07-15T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
